name;correct name;accent
Aiora Renteria;AIORA RENTERIA AGIRRE;bizkaiera
Andoni Iriondo;ANDONI IRIONDO OTXOTORENA;gipuzkera
Aritz Ganboa;ARITZ GANBOA DE MIGUEL;nafarrera
Arnaitz Fernandez;ARNAITZ FERNANDEZ ELIAS;
Asier Burgete;ASIER BURGUETE RUBIO;nafarrera
Asier Burguete;ASIER BURGUETE RUBIO;nafarrera
Gorka Urbizu;GORKA URBIZU RUIZ;
Imanol Ibero;IMANOL IBERO AZKARATE;nafarrera
Iñigo Antsorregi;IÑIGO ANTSORREGI DIEREZ;bizkaiera
Izaskun Moyano;IZASKUN MOYANO GARCIA;
Jon Artano;JON ARTANO IZETA;
Jon Maia;JON MAIA ETXABE;
Joseina Etxeberria;JOSEINA ETXEBERRIA AIERDI;
Klara Mendizabal;KLARA MENDIZABAL SANTAMARÍA;gipuzkera
Klaudio Landa;KLAUDIO LANDA MENDIBE;bizkaiera
Leire Martinez;LEIRE MARTINEZ OCHOA;gipuzkera
Maddalen Arzallus;MAIALEN ARZALLUS ANTIA;
Maialen Arzallus;MAIALEN ARZALLUS ANTIA;
Maialen Lujanbio;MAIALEN LUJANBIO ZUGASTI;
Maitane Ormazabal;MAITANE ORMAZABAL ESNAOLA;gipuzkera
Patxi Egurrola;PATXI EGURROLA GOIOGANA;bizkaiera
Xabier Sukia;XABIER SUKIA ETXEBERRIA;
